id,name,country,qs_global_rank,qs_europe_rank,founding_year,focus_areas,research_strengths,faculty_count,international_percent,language_of_teaching,website_url,university_type,gdpr_compliance_note,eu_ai_act_aligned
eth-zurich,"ETH Zurich",Switzerland,9,1,1855,"Engineering,Physics,Mathematics,Computer Science,Chemistry,Biology","Quantum Computing,Materials Science,Photonics,Systems Biology,Robotics",650,42,"English,German,French",https://www.ethz.ch,Public,"Strict adherence to Swiss Data Protection Act; research data handling aligns with GDPR standards.",true
imperial-london,"Imperial College London",United Kingdom,2,2,1907,"Engineering,Medicine,Science,Business","AI,Photonics,Materials Science,Aeronautics,Biomedical Engineering",3500,62,"English",https://www.imperial.ac.uk,Public,"Full GDPR compliance certified by UK Data Protection Authority post-Brexit.",true
oxford-uni,"University of Oxford",United Kingdom,1,1,1096,"Humanities,Science,Medicine,Social Sciences","Classical Philosophy,Physics,Medicine,Law,Mathematics",2500,55,"English",https://www.ox.ac.uk,Public,"Established GDPR compliance with international research data agreements.",true
cambridge-uni,"University of Cambridge",United Kingdom,4,4,1209,"Science,Engineering,Humanities,Medicine","Mathematics,Physics,Medicine,Neuroscience,Computer Science",2000,54,"English",https://www.cam.ac.uk,Public,"GDPR-compliant research ethics framework; strong data governance.",true
ucl,"University College London (UCL)",United Kingdom,8,5,1826,"Engineering,Medicine,Social Sciences,Law,Humanities","Neuroscience,AI,Medicine,Law,Psychology",2900,60,"English",https://www.ucl.ac.uk,Public,"Comprehensive GDPR compliance; certified data protection practices.",true
epfl,"EPFL – École Polytechnique Fédérale de Lausanne",Switzerland,20,6,1853,"Engineering,Physics,Mathematics,Architecture","Robotics,Materials Science,Renewable Energy,Biotechnology,AI",1100,55,"English,French",https://www.epfl.ch,Public,"Swiss Data Protection Act compliance; strict international research agreements.",true
delft-tech,"Delft University of Technology",Netherlands,15,11,1842,"Engineering,Technology,Design,Architecture","Robotics,Mechanical Engineering,Aerospace,Sustainable Engineering",2200,52,"English,Dutch",https://www.tudelft.nl,Public,"Full GDPR compliance with EU research framework alignment.",true
edinburgh-uni,"University of Edinburgh",United Kingdom,16,7,1582,"Science,Engineering,Humanities,Medicine,Law","Medicine,Physics,Mathematics,Informatics,Philosophy",3500,65,"English",https://www.ed.ac.uk,Public,"GDPR-certified; strong data protection in medical research.",true
manchester-uni,"University of Manchester",United Kingdom,22,8,1824,"Science,Engineering,Medicine,Humanities,Social Sciences","Materials Science,Physics,Medicine,Engineering,Chemistry",3100,60,"English",https://www.manchester.ac.uk,Public,"Comprehensive GDPR compliance; EU research coordination.",true
kcl,"King's College London (KCL)",United Kingdom,40,9,1829,"Medicine,Law,Humanities,Science,Social Sciences","Medicine,Neuroscience,Law,War Studies,Philosophy",1900,50,"English",https://www.kcl.ac.uk,Public,"GDPR certified; international medical research alignment.",true
copenhagen-uni,"University of Copenhagen",Denmark,92,12,1479,"Medicine,Science,Humanities,Social Sciences,Law","Medicine,Physics,Quantum Photonics,Climate Solutions,Humanities",2800,48,"English,Danish",https://www.ku.dk,Public,"GDPR full compliance; Nordic data protection standards.",true
lmu,"Ludwig Maximilians University Munich (LMU)",Germany,52,13,1472,"Medicine,Science,Humanities,Law,Social Sciences","Physics,Chemistry,Medicine,Philosophy,Theology",700,25,"English,German",https://www.lmu.de,Public,"German Data Protection Act + GDPR; strong EU alignment.",true
tum,"Technical University of Munich (TUM)",Germany,54,14,1868,"Engineering,Science,Medicine,Architecture","Robotics,Automotive Engineering,Materials Science,Computer Science,AI",600,35,"English,German",https://www.tum.de,Public,"GDPR-compliant; EU Industrial AI research alignment.",true
amsterdam-uni,"University of Amsterdam",Netherlands,59,16,1632,"Science,Medicine,Humanities,Law,Social Sciences","Physics,Medicine,Chemistry,Law,Philosophy",2200,52,"English,Dutch",https://www.uva.nl,Public,"Full GDPR compliance; EU research partnership hub.",true
kth-tech,"KTH Royal Institute of Technology",Sweden,60,27,1827,"Engineering,Science,Architecture,Industrial Engineering","Robotics,Photonics,Sustainable Energy,AI,Materials Science",1300,48,"English,Swedish",https://www.kth.se,Public,"GDPR-certified; Nordic innovation standards.",true
leiden-uni,"Leiden University",Netherlands,74,17,1575,"Science,Medicine,Humanities,Law,Social Sciences","Medicine,Physics,Ancient Languages,Law,Chemistry",1500,40,"English,Dutch",https://www.universiteitleiden.nl,Public,"GDPR-certified; international medical research standards.",true
